0,0,36,0,0,0
0,0,0,264,0,331
0,0,0,264,0,230
0,0,0,272,0,554
0,0,0,355,0,418
0,0,0,434,0,289
0,0,0,159,0,277
0,0,0,295,0,325
0,0,0,462,0,471
0,0,0,481,0,512
0,0,0,436,0,314
0,0,0,340,0,478
0,0,0,148,0,403
0,0,0,482,0,333
0,0,0,434,0,571
0,0,0,272,0,362
0,0,0,313,0,390
0,0,0,348,0,374
0,0,0,387,0,427
0,0,0,164,0,171
0,0,0,322,0,391
0,0,0,310,0,492
0,0,0,272,0,352
0,0,0,409,0,426
0,0,0,457,0,514
0,0,0,444,0,282
0,0,0,304,0,321
0,0,0,470,0,333
0,0,0,337,0,392
0,0,0,254,0,271
0,0,0,238,0,202
0,0,0,224,0,287
0,0,0,298,0,244
0,0,0,426,0,565
0,0,0,332,0,361
0,0,0,316,0,291
0,0,0,316,0,240
0,0,0,399,0,344
0,0,0,383,0,490
0,0,0,448,0,414
0,0,0,496,0,476
0,0,0,378,0,292
0,0,0,415,0,239
0,0,0,207,0,352
0,0,0,419,0,234
0,0,0,542,0,449
0,0,0,310,0,344
0,0,0,472,0,416
0,0,0,500,0,435
0,0,0,541,0,338
0,0,0,359,0,191
0,0,0,386,0,158
0,0,0,323,0,140
0,0,0,449,0,367
0,0,0,226,0,493
0,0,0,222,0,409
0,0,0,437,0,372
0,0,0,243,0,388
0,0,0,325,0,358
0,0,0,342,0,195
0,0,0,278,0,530
0,0,0,670,0,396
0,0,0,180,0,561
0,0,0,379,0,494
0,0,0,293,0,381
0,0,0,199,0,309
0,0,0,186,0,443
0,0,0,202,0,347
0,0,0,403,0,440
-1
0,0,513,0,0,0
0,0,598,0,0,0
0,0,594,0,0,0
0,0,545,0,0,0
0,0,0,0,0,688
0,0,0,0,0,596
0,0,0,0,0,566
0,0,0,0,0,559
0,0,0,0,0,615
0,0,0,0,0,578
0,0,0,0,0,563
0,0,0,0,0,671
0,0,0,0,0,510
471,0,0,0,0,0
496,0,0,0,0,0
525,0,0,0,0,0
514,0,0,0,0,0
516,0,0,0,0,0
488,0,0,0,0,0
455,0,0,0,0,0
519,0,0,0,0,0
492,0,0,0,0,0
509,0,0,0,0,0
469,0,0,0,0,0
501,0,0,0,0,0
511,0,0,0,0,0
514,0,0,0,0,0
579,0,0,0,0,0
504,0,0,0,0,0
536,0,0,0,0,0
483,0,0,0,0,0
478,0,0,0,0,0
526,0,0,0,0,0
509,0,0,0,0,0
530,0,0,0,0,0
512,0,0,0,0,0
549,0,0,0,0,0
531,0,0,0,0,0
488,0,0,0,0,0
500,0,0,0,0,0
516,0,0,0,0,0
492,0,0,0,0,0
546,0,0,0,0,0
620,587,598,638,577,574
480,455,507,479,493,542
556,567,599,549,517,571
594,545,586,622,541,684
530,0,589,610,544,569
518,0,615,507,494,612
0,0,0,524,0,547
0,0,0,522,0,507
0,0,0,550,0,538
0,0,0,506,0,612
0,0,0,627,0,654
0,0,0,552,0,518
0,0,0,499,0,576
0,0,0,450,0,491
0,0,0,617,0,576
0,0,0,552,0,587
0,0,0,591,0,500
0,0,0,525,0,458
0,0,0,627,0,577
0,0,0,640,0,618
0,0,0,573,0,568
0,0,0,589,0,566
0,0,0,528,0,613
0,0,0,602,0,559
0,0,0,595,0,664
0,0,0,602,0,588
0,0,0,594,0,576
0,0,0,570,0,622
0,0,0,584,0,498
0,0,0,596,0,522
0,0,0,600,0,496
0,0,0,601,0,554
0,0,0,522,0,548
0,0,0,558,0,545
0,0,0,561,0,672
0,0,0,582,0,606
0,0,0,632,0,575
0,0,0,505,0,551
0,0,0,570,0,582
0,0,0,551,0,555
0,0,0,607,0,619
0,0,0,597,0,549
0,0,0,552,0,606
0,0,0,476,0,576
0,0,0,546,0,488
0,0,0,596,0,650
0,0,0,537,0,572
0,0,0,540,0,570
0,0,0,481,0,492
0,0,0,590,0,605
0,0,0,495,0,498
0,0,0,557,0,584
0,0,0,552,0,623
0,0,0,525,0,556
0,0,0,579,0,585
0,0,0,641,0,664
0,0,0,605,0,541
0,0,0,465,0,472
0,0,0,639,0,585
0,0,0,562,0,584
0,0,0,542,0,549
0,0,0,524,0,510
0,0,0,506,0,531
0,0,0,559,0,538
0,0,0,585,0,640
0,0,0,580,0,592
0,0,0,578,0,569
0,0,0,554,0,525
0,0,0,501,0,480
0,0,0,588,0,630
0,0,0,509,0,496
0,0,0,596,0,588
0,0,0,590,0,556
0,0,0,581,0,512
0,0,0,499,0,556
0,0,0,619,0,546
0,0,0,663,0,626
0,0,0,576,0,590
0,0,0,603,0,581
0,0,0,650,0,625
0,0,0,667,0,587
0,0,0,583,0,517
0,0,0,581,0,491
0,0,0,581,0,509
0,0,0,606,0,574
0,0,0,542,0,647
0,0,0,541,0,614
0,0,0,585,0,560
0,0,0,525,0,582
0,0,0,521,0,534
0,0,0,588,0,530
0,0,0,551,0,650
0,0,0,689,0,581
0,0,0,488,0,638
0,0,0,587,0,632
0,0,0,545,0,580
0,0,0,520,0,564
0,0,0,490,0,591
0,0,0,521,0,578
0,0,0,504,0,518
-1
0,0,494,0,0,0
0,0,561,0,0,0
0,0,570,0,0,0
0,0,508,0,0,0
0,0,0,0,0,649
0,0,0,0,0,525
0,0,0,0,0,468
0,0,0,0,0,469
0,0,0,0,0,565
0,0,0,0,0,486
0,0,0,0,0,485
0,0,0,0,0,623
0,0,0,0,0,414
333,0,0,0,0,0
393,0,0,0,0,0
427,0,0,0,0,0
392,0,0,0,0,0
402,0,0,0,0,0
370,0,0,0,0,0
363,0,0,0,0,0
418,0,0,0,0,0
377,0,0,0,0,0
413,0,0,0,0,0
341,0,0,0,0,0
401,0,0,0,0,0
438,0,0,0,0,0
400,0,0,0,0,0
500,0,0,0,0,0
372,0,0,0,0,0
423,0,0,0,0,0
373,0,0,0,0,0
387,0,0,0,0,0
438,0,0,0,0,0
402,0,0,0,0,0
424,0,0,0,0,0
406,0,0,0,0,0
454,0,0,0,0,0
425,0,0,0,0,0
370,0,0,0,0,0
378,0,0,0,0,0
412,0,0,0,0,0
354,0,0,0,0,0
438,0,0,0,0,0
555,551,566,583,490,485
401,404,472,400,421,495
475,531,572,464,415,498
515,497,551,559,434,654
417,0,554,540,438,477
405,0,588,388,369,550
0,0,0,436,0,472
0,0,0,465,0,442
0,0,0,476,0,458
0,0,0,387,0,549
0,0,0,566,0,607
0,0,0,468,0,416
0,0,0,376,0,494
0,0,0,375,0,438
0,0,0,568,0,505
0,0,0,478,0,533
0,0,0,529,0,390
0,0,0,480,0,377
0,0,0,587,0,510
0,0,0,608,0,574
0,0,0,480,0,472
0,0,0,526,0,490
0,0,0,432,0,562
0,0,0,603,0,536
0,0,0,534,0,641
0,0,0,546,0,524
0,0,0,522,0,494
0,0,0,468,0,547
0,0,0,561,0,428
0,0,0,547,0,433
0,0,0,563,0,403
0,0,0,544,0,471
0,0,0,432,0,473
0,0,0,456,0,436
0,0,0,461,0,631
0,0,0,503,0,541
0,0,0,564,0,476
0,0,0,385,0,456
0,0,0,475,0,493
0,0,0,520,0,526
0,0,0,564,0,582
0,0,0,541,0,467
0,0,0,478,0,561
0,0,0,362,0,516
0,0,0,524,0,434
0,0,0,540,0,623
0,0,0,445,0,499
0,0,0,462,0,508
0,0,0,435,0,451
0,0,0,519,0,543
0,0,0,380,0,384
0,0,0,475,0,517
0,0,0,468,0,578
0,0,0,437,0,485
0,0,0,520,0,530
0,0,0,577,0,612
0,0,0,549,0,451
0,0,0,409,0,419
0,0,0,580,0,498
0,0,0,484,0,517
0,0,0,442,0,453
0,0,0,425,0,403
0,0,0,408,0,446
0,0,0,469,0,436
0,0,0,530,0,614
0,0,0,494,0,512
0,0,0,487,0,472
0,0,0,472,0,426
0,0,0,466,0,433
0,0,0,517,0,581
0,0,0,488,0,468
0,0,0,561,0,550
0,0,0,516,0,465
0,0,0,523,0,418
0,0,0,398,0,485
0,0,0,549,0,438
0,0,0,621,0,564
0,0,0,484,0,505
0,0,0,557,0,524
0,0,0,598,0,559
0,0,0,623,0,501
0,0,0,505,0,404
0,0,0,514,0,376
0,0,0,491,0,381
0,0,0,552,0,502
0,0,0,433,0,594
0,0,0,430,0,543
0,0,0,534,0,495
0,0,0,427,0,515
0,0,0,453,0,473
0,0,0,503,0,414
0,0,0,456,0,608
0,0,0,682,0,517
0,0,0,381,0,611
0,0,0,515,0,584
0,0,0,458,0,511
0,0,0,409,0,476
0,0,0,385,0,540
0,0,0,410,0,498
0,0,0,469,0,491
-1
0,0,473,0,0,0
0,0,520,0,0,0
0,0,544,0,0,0
0,0,465,0,0,0
0,0,0,0,0,605
0,0,0,0,0,446
0,0,0,0,0,358
0,0,0,0,0,368
0,0,0,0,0,509
0,0,0,0,0,384
0,0,0,0,0,398
0,0,0,0,0,570
0,0,0,0,0,307
180,0,0,0,0,0
278,0,0,0,0,0
319,0,0,0,0,0
256,0,0,0,0,0
276,0,0,0,0,0
238,0,0,0,0,0
260,0,0,0,0,0
306,0,0,0,0,0
248,0,0,0,0,0
306,0,0,0,0,0
198,0,0,0,0,0
289,0,0,0,0,0
357,0,0,0,0,0
272,0,0,0,0,0
412,0,0,0,0,0
226,0,0,0,0,0
297,0,0,0,0,0
251,0,0,0,0,0
285,0,0,0,0,0
341,0,0,0,0,0
282,0,0,0,0,0
306,0,0,0,0,0
289,0,0,0,0,0
348,0,0,0,0,0
307,0,0,0,0,0
238,0,0,0,0,0
241,0,0,0,0,0
297,0,0,0,0,0
200,0,0,0,0,0
317,0,0,0,0,0
483,512,530,521,392,386
313,348,433,311,340,444
384,491,542,370,301,416
427,444,511,488,315,620
291,0,515,462,320,374
280,0,557,256,228,481
0,0,0,339,0,388
0,0,0,401,0,369
0,0,0,394,0,368
0,0,0,254,0,479
0,0,0,497,0,555
0,0,0,375,0,301
0,0,0,238,0,403
0,0,0,292,0,380
0,0,0,514,0,426
0,0,0,397,0,472
0,0,0,459,0,266
0,0,0,430,0,287
0,0,0,543,0,436
0,0,0,571,0,525
0,0,0,376,0,364
0,0,0,456,0,405
0,0,0,324,0,504
0,0,0,604,0,511
0,0,0,466,0,615
0,0,0,483,0,453
0,0,0,441,0,403
0,0,0,354,0,464
0,0,0,534,0,350
0,0,0,492,0,334
0,0,0,522,0,300
0,0,0,480,0,379
0,0,0,333,0,389
0,0,0,343,0,314
0,0,0,349,0,585
0,0,0,415,0,468
0,0,0,487,0,365
0,0,0,251,0,350
0,0,0,368,0,394
0,0,0,486,0,494
0,0,0,515,0,541
0,0,0,479,0,376
0,0,0,397,0,512
0,0,0,235,0,449
0,0,0,499,0,374
0,0,0,477,0,592
0,0,0,343,0,418
0,0,0,374,0,438
0,0,0,383,0,406
0,0,0,441,0,474
0,0,0,252,0,258
0,0,0,385,0,442
0,0,0,375,0,527
0,0,0,339,0,406
0,0,0,454,0,469
0,0,0,506,0,554
0,0,0,487,0,351
0,0,0,347,0,361
0,0,0,515,0,400
0,0,0,397,0,443
0,0,0,331,0,345
0,0,0,314,0,284
0,0,0,299,0,352
0,0,0,368,0,323
0,0,0,469,0,585
0,0,0,398,0,422
0,0,0,386,0,365
0,0,0,380,0,316
0,0,0,426,0,380
0,0,0,438,0,527
0,0,0,465,0,436
0,0,0,522,0,506
0,0,0,434,0,362
0,0,0,459,0,312
0,0,0,285,0,406
0,0,0,472,0,317
0,0,0,574,0,496
0,0,0,381,0,410
0,0,0,507,0,460
0,0,0,540,0,486
0,0,0,574,0,405
0,0,0,419,0,278
0,0,0,438,0,247
0,0,0,392,0,238
0,0,0,491,0,422
0,0,0,310,0,534
0,0,0,307,0,463
0,0,0,477,0,422
0,0,0,319,0,440
0,0,0,378,0,405
0,0,0,408,0,285
0,0,0,351,0,562
0,0,0,675,0,445
0,0,0,262,0,582
0,0,0,435,0,530
0,0,0,361,0,434
0,0,0,284,0,377
0,0,0,267,0,483
0,0,0,287,0,409
0,0,0,430,0,460
-1
0,0,459,0,0,0
0,0,492,0,0,0
0,0,526,0,0,0
0,0,436,0,0,0
0,0,0,0,0,575
0,0,0,0,0,391
0,0,0,0,0,283
0,0,0,0,0,298
0,0,0,0,0,471
0,0,0,0,0,314
0,0,0,0,0,339
0,0,0,0,0,533
0,0,0,0,0,234
74,0,0,0,0,0
199,0,0,0,0,0
243,0,0,0,0,0
162,0,0,0,0,0
189,0,0,0,0,0
146,0,0,0,0,0
189,0,0,0,0,0
228,0,0,0,0,0
159,0,0,0,0,0
232,0,0,0,0,0
99,0,0,0,0,0
212,0,0,0,0,0
301,0,0,0,0,0
183,0,0,0,0,0
351,0,0,0,0,0
125,0,0,0,0,0
210,0,0,0,0,0
166,0,0,0,0,0
215,0,0,0,0,0
274,0,0,0,0,0
200,0,0,0,0,0
225,0,0,0,0,0
207,0,0,0,0,0
275,0,0,0,0,0
225,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
217,0,0,0,0,0
94,0,0,0,0,0
234,0,0,0,0,0
433,485,505,479,325,317
252,309,406,250,285,409
322,463,521,304,222,360
367,407,483,439,233,597
204,0,489,408,239,304
193,0,537,164,132,433
0,0,0,271,0,330
0,0,0,358,0,319
0,0,0,337,0,306
0,0,0,162,0,431
0,0,0,450,0,519
0,0,0,310,0,223
0,0,0,143,0,340
0,0,0,234,0,339
0,0,0,476,0,372
0,0,0,340,0,430
0,0,0,411,0,180
0,0,0,395,0,225
0,0,0,512,0,384
0,0,0,546,0,491
0,0,0,304,0,290
0,0,0,407,0,346
0,0,0,249,0,465
0,0,0,604,0,494
0,0,0,419,0,597
0,0,0,440,0,404
0,0,0,385,0,340
0,0,0,276,0,407
0,0,0,516,0,296
0,0,0,454,0,266
0,0,0,494,0,229
0,0,0,436,0,316
0,0,0,264,0,331
0,0,0,264,0,230
0,0,0,272,0,554
0,0,0,355,0,418
0,0,0,434,0,289
0,0,0,159,0,277
0,0,0,295,0,325
0,0,0,462,0,471
0,0,0,481,0,512
0,0,0,436,0,314
0,0,0,340,0,478
0,0,0,148,0,403
0,0,0,482,0,333
0,0,0,434,0,571
0,0,0,272,0,362
0,0,0,313,0,390
0,0,0,348,0,374
0,0,0,387,0,427
0,0,0,164,0,171
0,0,0,322,0,391
0,0,0,310,0,492
0,0,0,272,0,352
0,0,0,409,0,426
0,0,0,457,0,514
0,0,0,444,0,282
0,0,0,304,0,321
0,0,0,470,0,333
0,0,0,337,0,392
0,0,0,254,0,271
0,0,0,238,0,202
0,0,0,224,0,287
0,0,0,298,0,244
0,0,0,426,0,565
0,0,0,332,0,361
0,0,0,316,0,291
0,0,0,316,0,240
0,0,0,399,0,344
0,0,0,383,0,490
0,0,0,448,0,414
0,0,0,496,0,476
0,0,0,378,0,292
0,0,0,415,0,239
0,0,0,207,0,352
0,0,0,419,0,234
0,0,0,542,0,449
0,0,0,310,0,344
0,0,0,472,0,416
0,0,0,500,0,435
0,0,0,541,0,338
0,0,0,359,0,191
0,0,0,386,0,158
0,0,0,323,0,140
0,0,0,449,0,367
0,0,0,226,0,493
0,0,0,222,0,409
0,0,0,437,0,372
0,0,0,243,0,388
0,0,0,325,0,358
0,0,0,342,0,195
0,0,0,278,0,530
0,0,0,670,0,396
0,0,0,180,0,561
0,0,0,379,0,494
0,0,0,293,0,381
0,0,0,199,0,309
0,0,0,186,0,443
0,0,0,202,0,347
0,0,0,403,0,440
-1
0,0,537,0,0,0
0,0,630,0,0,0
0,0,614,0,0,0
0,0,580,0,0,0
0,0,0,0,0,696
0,0,0,0,0,646
0,0,0,0,0,643
0,0,0,0,0,629
0,0,0,0,0,644
0,0,0,0,0,648
0,0,0,0,0,671
0,0,0,0,0,688
0,0,0,0,0,585
640,0,0,0,0,0
578,0,0,0,0,0
654,0,0,0,0,0
604,0,0,0,0,0
660,0,0,0,0,0
585,0,0,0,0,0
579,0,0,0,0,0
651,0,0,0,0,0
639,0,0,0,0,0
584,0,0,0,0,0
577,0,0,0,0,0
632,0,0,0,0,0
615,0,0,0,0,0
608,0,0,0,0,0
690,0,0,0,0,0
614,0,0,0,0,0
681,0,0,0,0,0
624,0,0,0,0,0
549,0,0,0,0,0
592,0,0,0,0,0
595,0,0,0,0,0
667,0,0,0,0,0
596,0,0,0,0,0
676,0,0,0,0,0
616,0,0,0,0,0
585,0,0,0,0,0
602,0,0,0,0,0
598,0,0,0,0,0
608,0,0,0,0,0
634,0,0,0,0,0
653,617,625,662,634,632
590,511,547,590,596,619
668,609,631,665,650,675
641,587,616,654,617,683
612,0,618,649,618,630
610,0,638,605,599,654
0,0,0,643,0,654
0,0,0,558,0,551
0,0,0,603,0,598
0,0,0,604,0,653
0,0,0,657,0,669
0,0,0,615,0,599
0,0,0,601,0,637
0,0,0,503,0,522
0,0,0,645,0,626
0,0,0,604,0,620
0,0,0,685,0,643
0,0,0,549,0,518
0,0,0,635,0,612
0,0,0,641,0,631
0,0,0,698,0,695
0,0,0,684,0,673
0,0,0,604,0,643
0,0,0,570,0,550
0,0,0,635,0,667
0,0,0,690,0,683
0,0,0,645,0,637
0,0,0,641,0,665
0,0,0,587,0,547
0,0,0,676,0,642
0,0,0,616,0,568
0,0,0,689,0,667
0,0,0,590,0,602
0,0,0,639,0,633
0,0,0,641,0,692
0,0,0,639,0,651
0,0,0,670,0,644
0,0,0,604,0,625
0,0,0,645,0,650
0,0,0,561,0,563
0,0,0,630,0,635
0,0,0,621,0,599
0,0,0,604,0,629
0,0,0,569,0,616
0,0,0,599,0,572
0,0,0,621,0,646
0,0,0,608,0,624
0,0,0,650,0,664
0,0,0,559,0,564
0,0,0,629,0,636
0,0,0,588,0,590
0,0,0,617,0,630
0,0,0,615,0,648
0,0,0,592,0,606
0,0,0,617,0,620
0,0,0,674,0,684
0,0,0,639,0,610
0,0,0,500,0,503
0,0,0,677,0,652
0,0,0,671,0,681
0,0,0,621,0,624
0,0,0,602,0,595
0,0,0,583,0,594
0,0,0,629,0,619
0,0,0,620,0,645
0,0,0,635,0,640
0,0,0,649,0,644
0,0,0,616,0,602
0,0,0,568,0,558
0,0,0,628,0,647
0,0,0,510,0,503
0,0,0,599,0,596
0,0,0,695,0,679
0,0,0,618,0,586
0,0,0,580,0,606
0,0,0,667,0,634
0,0,0,673,0,656
0,0,0,648,0,654
0,0,0,679,0,669
0,0,0,733,0,722
0,0,0,689,0,653
0,0,0,640,0,610
0,0,0,680,0,638
0,0,0,701,0,668
0,0,0,691,0,677
0,0,0,683,0,732
0,0,0,683,0,717
0,0,0,605,0,593
0,0,0,654,0,680
0,0,0,620,0,626
0,0,0,705,0,678
0,0,0,677,0,722
0,0,0,664,0,614
0,0,0,626,0,695
0,0,0,627,0,648
0,0,0,612,0,628
0,0,0,611,0,631
0,0,0,627,0,674
0,0,0,663,0,689
0,0,0,518,0,524
-1
0,0,520,0,0,0
0,0,591,0,0,0
0,0,589,0,0,0
0,0,540,0,0,0
0,0,0,0,0,636
0,0,0,0,0,561
0,0,0,0,0,531
0,0,0,0,0,525
0,0,0,0,0,580
0,0,0,0,0,543
0,0,0,0,0,614
0,0,0,0,0,619
0,0,0,0,0,475
523,0,0,0,0,0
462,0,0,0,0,0
577,0,0,0,0,0
462,0,0,0,0,0
568,0,0,0,0,0
453,0,0,0,0,0
507,0,0,0,0,0
571,0,0,0,0,0
544,0,0,0,0,0
474,0,0,0,0,0
434,0,0,0,0,0
553,0,0,0,0,0
563,0,0,0,0,0
480,0,0,0,0,0
631,0,0,0,0,0
469,0,0,0,0,0
588,0,0,0,0,0
535,0,0,0,0,0
444,0,0,0,0,0
491,0,0,0,0,0
474,0,0,0,0,0
582,0,0,0,0,0
477,0,0,0,0,0
601,0,0,0,0,0
496,0,0,0,0,0
453,0,0,0,0,0
465,0,0,0,0,0
481,0,0,0,0,0
457,0,0,0,0,0
511,0,0,0,0,0
568,579,590,586,526,523
532,462,514,531,545,593
608,575,606,601,569,623
542,538,579,570,490,633
478,0,582,558,492,517
483,0,609,472,459,578
0,0,0,576,0,599
0,0,0,487,0,472
0,0,0,516,0,504
0,0,0,471,0,577
0,0,0,575,0,602
0,0,0,517,0,483
0,0,0,464,0,541
0,0,0,415,0,456
0,0,0,583,0,541
0,0,0,517,0,552
0,0,0,643,0,552
0,0,0,490,0,423
0,0,0,575,0,525
0,0,0,588,0,567
0,0,0,625,0,620
0,0,0,641,0,617
0,0,0,493,0,578
0,0,0,550,0,507
0,0,0,560,0,630
0,0,0,654,0,640
0,0,0,559,0,541
0,0,0,518,0,570
0,0,0,550,0,463
0,0,0,648,0,574
0,0,0,565,0,461
0,0,0,652,0,605
0,0,0,487,0,513
0,0,0,523,0,510
0,0,0,526,0,637
0,0,0,547,0,572
0,0,0,581,0,524
0,0,0,470,0,516
0,0,0,535,0,547
0,0,0,516,0,520
0,0,0,572,0,584
0,0,0,545,0,497
0,0,0,517,0,571
0,0,0,441,0,542
0,0,0,598,0,539
0,0,0,544,0,598
0,0,0,502,0,538
0,0,0,592,0,622
0,0,0,533,0,543
0,0,0,538,0,554
0,0,0,460,0,463
0,0,0,522,0,549
0,0,0,517,0,589
0,0,0,490,0,522
0,0,0,544,0,551
0,0,0,590,0,612
0,0,0,570,0,506
0,0,0,430,0,437
0,0,0,604,0,550
0,0,0,614,0,635
0,0,0,507,0,514
0,0,0,489,0,475
0,0,0,471,0,496
0,0,0,525,0,504
0,0,0,551,0,605
0,0,0,529,0,540
0,0,0,544,0,534
0,0,0,520,0,490
0,0,0,553,0,531
0,0,0,536,0,578
0,0,0,475,0,461
0,0,0,544,0,537
0,0,0,642,0,608
0,0,0,546,0,477
0,0,0,465,0,522
0,0,0,584,0,511
0,0,0,611,0,574
0,0,0,541,0,555
0,0,0,654,0,633
0,0,0,702,0,676
0,0,0,632,0,553
0,0,0,549,0,483
0,0,0,633,0,543
0,0,0,632,0,560
0,0,0,658,0,626
0,0,0,594,0,699
0,0,0,593,0,666
0,0,0,533,0,508
0,0,0,577,0,634
0,0,0,573,0,585
0,0,0,640,0,582
0,0,0,603,0,701
0,0,0,637,0,529
0,0,0,540,0,689
0,0,0,535,0,580
0,0,0,511,0,545
0,0,0,486,0,529
0,0,0,542,0,643
0,0,0,573,0,630
0,0,0,469,0,483
-1
0,0,504,0,0,0
0,0,552,0,0,0
0,0,564,0,0,0
0,0,501,0,0,0
0,0,0,0,0,576
0,0,0,0,0,476
0,0,0,0,0,419
0,0,0,0,0,420
0,0,0,0,0,516
0,0,0,0,0,438
0,0,0,0,0,557
0,0,0,0,0,551
0,0,0,0,0,366
406,0,0,0,0,0
345,0,0,0,0,0
500,0,0,0,0,0
320,0,0,0,0,0
475,0,0,0,0,0
321,0,0,0,0,0
436,0,0,0,0,0
491,0,0,0,0,0
449,0,0,0,0,0
364,0,0,0,0,0
292,0,0,0,0,0
473,0,0,0,0,0
511,0,0,0,0,0
351,0,0,0,0,0
572,0,0,0,0,0
324,0,0,0,0,0
496,0,0,0,0,0
445,0,0,0,0,0
339,0,0,0,0,0
390,0,0,0,0,0
353,0,0,0,0,0
497,0,0,0,0,0
358,0,0,0,0,0
526,0,0,0,0,0
376,0,0,0,0,0
321,0,0,0,0,0
329,0,0,0,0,0
